date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:34:45	17422/17422	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Jul%202022%2017:20:06%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/4b69mGpsVGfD8VKOkwbsNd/9b82f4b2c911ea93dbd8702a44e19abc/CosmicDrift_Header_logo_1155x435px75b575b5.html?q=80&w=3840	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/4b69mGpsVGfD8VKOkwbsNd/9b82f4b2c911ea93dbd8702a44e19abc/CosmicDrift_Header_logo_1155x435px75b575b575b5.html	(from https://cosmicdrifts.net/)
16:34:45	31521/31521	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:19:44%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/2yT7jLQP8aFscZnYXzP0xo/c8d724fa1875112179268cde99c1024c/Duke_selected.png	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/2yT7jLQP8aFscZnYXzP0xo/c8d724fa1875112179268cde99c1024c/Duke_selected.png	(from https://cosmicdrifts.net/)
16:34:45	14550/14550	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:19:46%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/2P7KTex2hr13UVtrGPtWqv/6f938683406504e4eb4be9113058b1d8/Eris_thumb_B.png	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/2P7KTex2hr13UVtrGPtWqv/6f938683406504e4eb4be9113058b1d8/Eris_thumb_B.png	(from https://cosmicdrifts.net/)
16:34:45	18270/18270	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:19:48%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/3njs07yyHdFLzAooqBNQqo/94134fdc425f7eb294315bf9d5625543/Finn_thumb_B.png	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/3njs07yyHdFLzAooqBNQqo/94134fdc425f7eb294315bf9d5625543/Finn_thumb_B.png	(from https://cosmicdrifts.net/)
16:34:46	14226/14226	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:19:48%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/6ghdSGX1NceR3edLPDF3Eg/4d78f14c4753bdc8615963f3d3cc7f1d/Bob_thumb_B.png	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/6ghdSGX1NceR3edLPDF3Eg/4d78f14c4753bdc8615963f3d3cc7f1d/Bob_thumb_B.png	(from https://cosmicdrifts.net/)
16:34:46	93243/93243	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:19:48%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/70VS7j9FwTVsb3jlQHo450/49448a6ad193f1edbd9f0b6df6a1855a/Bob_sml.png	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/70VS7j9FwTVsb3jlQHo450/49448a6ad193f1edbd9f0b6df6a1855a/Bob_sml.png	(from https://cosmicdrifts.net/)
16:34:46	120702/120702	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:19:50%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/4wu3NvsXka74OQtVYaSrZr/b2ca4559922a5b8d1338a7489958e2e3/Bob-Pattern.png	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/4wu3NvsXka74OQtVYaSrZr/b2ca4559922a5b8d1338a7489958e2e3/Bob-Pattern.png	(from https://cosmicdrifts.net/)
16:34:46	74381/74381	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:19:50%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/6BqPw79yWmOcanCtHB0oYH/795c99be6b8708b280d1c65538840e13/Duke_sml.png	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/6BqPw79yWmOcanCtHB0oYH/795c99be6b8708b280d1c65538840e13/Duke_sml.png	(from https://cosmicdrifts.net/)
16:34:47	129325/129325	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:19:52%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/78KBXQFSW3bczOrVQqdWYT/ee2e74bc9098b40442c1e770fc9207b3/Duke_Full_B.png	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/78KBXQFSW3bczOrVQqdWYT/ee2e74bc9098b40442c1e770fc9207b3/Duke_Full_B.png	(from https://cosmicdrifts.net/)
16:34:47	85119/85119	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Jul%202022%2017:19:52%20GMT	https://cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/1634uWJOJPs3YJn2hi7jPM/cecfdeca97ed1e69dd537129bd3271db/Eris_sml.png	C:/My%20Web%20Sites/rsh/cosmicdrifts.net/images.ctfassets.net/9tpgu2u9anrt/1634uWJOJPs3YJn2hi7jPM/cecfdeca97ed1e69dd537129bd3271db/Eris_sml.png	(from https://cosmicdrifts.net/)
